HuMAP2_ID,Confidence,Uniprot_ACCs,genenames
HuMAP2_00052,4,O95319 Q92879 P52594,CELF2 CELF1 AGFG1
HuMAP2_00053,4,Q01415 P09960 Q00169 Q5TFE4 P07686 A6NDG6,GALK2 LTA4H PITPNA NT5DC1 HEXB PGP
HuMAP2_00054,3,Q9BXP5 Q92733,SRRT PRCC
HuMAP2_00055,2,P60842 P78344,EIF4A1 EIF4G2
HuMAP2_00056,3,Q9NPC8 Q99502,SIX2 EYA1
HuMAP2_00057,2,O95425 Q9NYL9 Q9Y608,SVIL TMOD3 LRRFIP2
HuMAP2_00058,5,Q9H8T0 Q13506 Q15742 O43310 Q9UJC3 Q86VS8 Q05DH4 Q8N612,AKTIP NAB1 NAB2 CTIF HOOK1 HOOK3 FAM160A1 FAM160A2
HuMAP2_00059,5,Q9UQK1 Q86XI6 O95685,PPP1R3C PPP1R3B PPP1R3D
HuMAP2_00060,5,Q4G0X4 Q14184 Q14183,KCTD21 DOC2B DOC2A
HuMAP2_00061,5,Q8N7X8 Q9H892,SIGLECL1 TTC12
HuMAP2_00062,4,Q6P587 P36405 P23786,FAHD1 ARL3 CPT2
HuMAP2_00063,5,O14836 Q96SL8 Q96JP5 O15015,TNFRSF13B FIZ1 ZFP91 ZNF646
HuMAP2_00064,4,Q9HCN4 Q9H9Y4 Q9BWH6,GPN1 GPN2 RPAP1
HuMAP2_00065,4,Q9H7E2 Q9Y3F4 Q9P2E3 O75534,TDRD3 STRAP ZNFX1 CSDE1
HuMAP2_00066,4,Q147X3 Q03181,NAA30 PPARD
HuMAP2_00067,5,P01036 Q8TDN1 P01037 Q92953 P09668,CST4 KCNG4 CST1 KCNB2 CTSH
HuMAP2_00068,5,Q504Y0 Q9NTN9 Q15842 P29016 Q9NZ53,SLC39A12 SEMA4G KCNJ8 CD1B PODXL2
HuMAP2_00069,4,Q9P2G3 Q9UJP4 Q53HC5 Q9UF56 Q9NXS3 Q9Y573,KLHL14 KLHL21 KLHL26 FBXL17 KLHL28 IPP
HuMAP2_00070,4,Q8WVC0 Q9HCK8 Q8N7H5 Q6P1J9 Q9GZS3 Q14241 Q6PD62,LEO1 CHD8 PAF1 CDC73 WDR61 ELOA CTR9
HuMAP2_00071,4,O95070 Q969M3 Q5BJH7,YIF1A YIPF5 YIF1B
