HuMAP2_ID,Confidence,Uniprot_ACCs,genenames
HuMAP2_02042,4,Q6P1N0 O60637 P31947,CC2D1A TSPAN3 SFN
HuMAP2_02043,2,Q9NQC1 Q8WYH8 Q9UNL4 O95251,JADE2 ING5 ING4 KAT7
HuMAP2_02044,4,Q96BJ8 Q6NXT1 Q92556 Q9H7D0 Q9Y6X8 Q96JJ3,ELMO3 ANKRD54 ELMO1 DOCK5 ZHX2 ELMO2
HuMAP2_02045,5,Q07817 Q92934 Q5TBC7 P10415 Q07812,BCL2L1 BAD BCL2L15 BCL2 BAX
HuMAP2_02046,4,Q8N4Q1 O95831 Q5JTV8,CHCHD4 AIFM1 TOR1AIP1
HuMAP2_02047,2,Q8TDP1 Q5TBB1 Q99615 O75792,RNASEH2C RNASEH2B DNAJC7 RNASEH2A
HuMAP2_02048,2,O60671 O43829 Q99638 O60921,RAD1 ZBTB14 RAD9A HUS1
HuMAP2_02049,5,P23458 P24394,JAK1 IL4R
HuMAP2_02050,3,Q9BR77 Q96DN5 Q9P209,CCDC77 TBC1D31 CEP72
HuMAP2_02051,2,Q96NL6 Q2M2Z5,SCLT1 KIZ
HuMAP2_02052,5,Q9UGM6 Q00978,WARS2 IRF9
HuMAP2_02053,5,Q9H0U4 Q9H082,RAB1B RAB33B
HuMAP2_02054,5,Q92890 P35626 P25098,UFD1 GRK3 GRK2
HuMAP2_02055,5,Q9BX40 Q9NTG7,LSM14B SIRT3
HuMAP2_02056,2,P21926 Q969P0,CD9 IGSF8
HuMAP2_02057,4,Q9UK41 Q9H9H4 Q99816 A5D8V6 Q9NZ09 Q8NEZ2 C9J7I0 O95487 Q96EY5 Q9H7P6,VPS28 VPS37B TSG101 VPS37C UBAP1 VPS37A UMAD1 SEC24B MVB12A MVB12B
HuMAP2_02058,3,Q96FX2 Q9UGK8,DPH3 SERGEF
HuMAP2_02059,5,O94766 Q9P260 O00461 O43752 Q9H1Z4,B3GAT3 RELCH GOLIM4 STX6 WDR13
HuMAP2_02060,2,Q9HAS0 Q9BZH6 Q658Y4,C17orf75 WDR11 FAM91A1
HuMAP2_02061,5,Q9NYF8 Q96T58 Q9Y3Y2,BCLAF1 SPEN CHTOP
HuMAP2_02062,4,O60939 Q9H1U9 P10586 Q63HN8 P56182,SCN2B SLC25A51 PTPRF RNF213 RRP1
HuMAP2_02063,5,O96008 P05023 P05026 O75027 Q9NZM1,TOMM40 ATP1A1 ATP1B1 ABCB7 MYOF
HuMAP2_02064,4,Q9Y2K3 Q9BXJ9 P13693 P12883 P41227 P01210,MYH15 NAA15 TPT1 MYH7 NAA10 PENK
HuMAP2_02065,1,Q9NYF8 Q9Y2W1,BCLAF1 THRAP3
HuMAP2_02066,4,Q9GZU7 O14595 Q3KQU3 O15194 Q99618,CTDSP1 CTDSP2 MAP7D1 CTDSPL CDCA3
HuMAP2_02067,5,Q96L15 Q9Y274 Q15165,ART5 ST3GAL6 PON2
HuMAP2_02068,2,Q99594 Q9H1B7 Q7Z5L9 Q8IU81 Q14135,TEAD3 IRF2BPL IRF2BP2 IRF2BP1 VGLL4
HuMAP2_02069,1,Q9BQA1 O14744,WDR77 PRMT5
HuMAP2_02070,2,Q9P2W9 Q12981 O75396,STX18 BNIP1 SEC22B
HuMAP2_02071,4,Q9Y2Y1 O15160 P0DPB5,POLR3K POLR1C POLR1D
HuMAP2_02072,4,Q96AT1 Q96GG9 O95486,KIAA1143 DCUN1D1 SEC24A
HuMAP2_02073,5,Q96BW5 P98196 Q9NQX5,PTER ATP11A NPDC1
HuMAP2_02074,3,Q8WXF1 Q9H788 P62140,PSPC1 SH2D4A PPP1CB
HuMAP2_02075,5,A5D8V7 Q9Y4K1 Q674R7 Q6NS38 Q3KNS6 P51178 Q17RD7 Q9UKA2,CCDC151 CRYBG1 ATG9B ALKBH2 ZNF829 PLCD1 SYT16 FBXL4
HuMAP2_02076,2,P46087 Q9Y3B9 Q9Y221 Q15050 Q8TDN6 Q99848 O60832 P42696 Q8IY81 Q15397 Q9H7B2 Q9NW13,NOP2 RRP15 NIP7 RRS1 BRIX1 EBNA1BP2 DKC1 RBM34 FTSJ3 PUM3 RPF2 RBM28
HuMAP2_02077,5,P84157 Q6P444 Q02153 Q02108 Q9NZQ9 P33402,MXRA7 MTFR2 GUCY1B1 GUCY1A1 TMOD4 GUCY1A2
HuMAP2_02078,4,P54762 A4D1S0 Q8N441 O96014 Q9H6R6,EPHB1 KLRG2 FGFRL1 WNT11 ZDHHC6
HuMAP2_02079,4,Q9H9T3 P29372 O95163 Q6IA86,ELP3 MPG ELP1 ELP2
HuMAP2_02080,4, Q96Q45 P11678,IGHA2 TMEM237 EPX
HuMAP2_02081,1,Q9NY27 P60510 Q6IN85,PPP4R2 PPP4C PPP4R3A
HuMAP2_02082,3,Q9UJ68 P14416,MSRA DRD2
HuMAP2_02083,5,Q02410 O95931 Q9Y2K6 Q99767 Q9UQR0 Q5JU85,APBA1 CBX7 USP20 APBA2 SCML2 IQSEC2
HuMAP2_02084,3, Q8NDF8,GPATCH4 TENT4B
HuMAP2_02085,2,Q676U5 Q9H1Y0,ATG16L1 ATG5
HuMAP2_02086,5,Q15788 Q86XD5,NCOA1 FAM131B
HuMAP2_02087,4,Q14565 Q06609,DMC1 RAD51
HuMAP2_02088,4,Q99523 Q9P0T7,SORT1 TMEM9
HuMAP2_02089,2,Q4V328 Q8TDR4,GRIPAP1 TCP10L
HuMAP2_02090,3,O14713 O00522 Q9BSQ5,ITGB1BP1 KRIT1 CCM2
HuMAP2_02091,4,Q14667 Q9UNE7 Q99615 O95816 Q7Z7G8 Q05BV3,KIAA0100 STUB1 DNAJC7 BAG2 VPS13B EML5
HuMAP2_02092,5,Q6PCB0 Q9H5V8 Q9UNW1,VWA1 CDCP1 MINPP1
HuMAP2_02093,2,Q13190 Q8WVM8,STX5 SCFD1
HuMAP2_02094,2,P83916 Q13185,CBX1 CBX3
HuMAP2_02095,3,P21802 P11362 P22607 Q6P047,FGFR2 FGFR1 FGFR3 C8orf74
HuMAP2_02096,4,Q8TD19 Q32P44,NEK9 EML3
HuMAP2_02097,5,Q96T37 P41091 P50579 Q8NE71 P05198 P20042 Q00G26 O75794 Q9UGL1 O75475 Q96P11 Q9BRP8,RBM15 EIF2S3 METAP2 ABCF1 EIF2S1 EIF2S2 PLIN5 CDC123 KDM5B PSIP1 NSUN5 PYM1
HuMAP2_02098,4,Q15399 Q9Y2C9 Q8NA54,TLR1 TLR6 IQUB
HuMAP2_02099,3,Q9BX97 Q6Q4G3,PLVAP LVRN
HuMAP2_02100,3,P46087 Q9Y3B9 Q9Y221 Q9NVP1 Q9UKD2 Q9BZE4,NOP2 RRP15 NIP7 DDX18 MRTO4 GTPBP4
HuMAP2_02101,2,P23919 P22061 A8MPS7,DTYMK PCMT1 YDJC
HuMAP2_02102,4,A1L4H1 Q8IWJ2 O95801,SSC5D GCC2 TTC4
HuMAP2_02103,2,P13497 O43897 Q9Y6L7,BMP1 TLL1 TLL2
HuMAP2_02104,4,P02675 Q9UKY7 Q9Y3A5,FGB CDV3 SBDS
HuMAP2_02105,4,Q9BV73 Q9BZW7 Q7Z7A1 Q96KS9 Q6DT37,CEP250 TSGA10 CNTRL FAM167A CDC42BPG
HuMAP2_02106,4,Q9NWV8 Q6UWZ7,BABAM1 ABRAXAS1
HuMAP2_02107,2,Q15020 Q9H6E5,SART3 TUT1
HuMAP2_02108,4,Q96KN2 A5A3E0,CNDP1 POTEF
HuMAP2_02109,2,Q9HAU0 Q9NU53,PLEKHA5 GINM1
HuMAP2_02110,5,Q86SQ7 Q8N4T0 Q9Y237 Q15046 Q96HB5,SDCCAG8 CPA6 PIN4 KARS1 CCDC120
HuMAP2_02111,4,P53680 Q9UBC2 Q9BV29 Q9HBM1 Q15811 P42566,AP2S1 EPS15L1 CCDC32 SPC25 ITSN1 EPS15
HuMAP2_02112,5,P36575 Q7Z4S6 Q14678 P32121,ARR3 KIF21A KANK1 ARRB2
HuMAP2_02113,2,O75781 Q8N414 Q7Z6K3 P53611 Q92696,PALM PGBD5 PTAR1 RABGGTB RABGGTA
HuMAP2_02114,5,P02794 Q13772 P02792 Q8N3Y7,FTH1 NCOA4 FTL SDR16C5
HuMAP2_02115,3,O00764 Q96G03 P49591 P16930,PDXK PGM2 SARS FAH
HuMAP2_02116,4,P09455 Q15366 Q96GD0 P31483 Q14353,RBP1 PCBP2 PDXP TIA1 GAMT
HuMAP2_02117,3,Q9UNF0 Q9NWX6,PACSIN2 THG1L
HuMAP2_02118,4,Q96JD6 P84085 Q9NZJ6 P11586 Q8IYB5,AKR1E2 ARF5 COQ3 MTHFD1 SMAP1
HuMAP2_02119,5,Q8IV45 Q9Y6R0,UNC5CL NUMBL
HuMAP2_02120,5,Q9NY93 Q9H2Y7 Q1ED39 Q9NQZ2 Q14692 Q9Y5J1 Q14137 Q13206,DDX56 ZNF106 KNOP1 UTP3 BMS1 UTP18 BOP1 DDX10
HuMAP2_02121,5,Q9NR31 O00233 Q9Y6B6,SAR1A PSMD9 SAR1B
HuMAP2_02122,4,P51606 Q32P28,RENBP P3H1
HuMAP2_02123,2,Q96L93 Q7L1V2,KIF16B MON1B
HuMAP2_02124,1,O75533 Q15393 Q13435 Q9BWJ5,SF3B1 SF3B3 SF3B2 SF3B5
HuMAP2_02125,5,Q14764 Q49MG5 Q9UKK3,MVP MAP9 PARP4
HuMAP2_02126,4,Q7L8S5 Q8IY22 Q99679 Q969S0 Q7Z2K6,OTUD6A CMIP GPR21 SLC35B4 ERMP1
HuMAP2_02127,4,P33992 Q14566 P33993 P49736 P25205 P33991 Q9BTE3 Q9P219 Q9UNS1 Q7L590,MCM5 MCM6 MCM7 MCM2 MCM3 MCM4 MCMBP CCDC88C TIMELESS MCM10
HuMAP2_02128,4,Q15075 P37198 Q9BVL2 Q7Z3B4 Q9H1M0,EEA1 NUP62 NUP58 NUP54 NUP62CL
HuMAP2_02129,5,Q9P2M4 Q07283 Q14CN4,TBC1D14 TCHH KRT72
HuMAP2_02130,5,Q9NU39 Q96C00 Q12950,FOXD4L1 ZBTB9 FOXD4
HuMAP2_02131,2,O43255 Q8IUQ4,SIAH2 SIAH1
HuMAP2_02132,2,Q99755 O60331,PIP5K1A PIP5K1C
HuMAP2_02133,2,O75916 Q6NWY9,RGS9 PRPF40B
HuMAP2_02134,5,Q8NC42 P48449 Q08345 Q14790 Q13158 P25445 Q16739 O14763 Q9NZH6 O00220,RNF149 LSS DDR1 CASP8 FADD FAS UGCG TNFRSF10B IL37 TNFRSF10A
HuMAP2_02135,4,P60022 Q969U6,DEFB1 FBXW5
HuMAP2_02136,2,Q14151 Q15424,SAFB2 SAFB
HuMAP2_02137,5,Q8TED0 Q969X6 Q8IWA0 Q9UMY1 Q9H583 Q15061 Q96F85 Q9H8H0 O94829 Q7Z3U7,UTP15 UTP4 WDR75 NOL7 HEATR1 WDR43 CNRIP1 NOL11 IPO13 MON2
HuMAP2_02138,3,P80404 P62937 Q6PCE3,ABAT PPIA PGM2L1
HuMAP2_02139,2,Q9UHI6 P57678 Q8TEQ6,DDX20 GEMIN4 GEMIN5
HuMAP2_02140,5,P51451 Q8IZU3,BLK SYCP3
HuMAP2_02141,2,Q96G03 P16930,PGM2 FAH
HuMAP2_02142,5,P22607 O14917 Q96J84 Q8TDY8 Q5BVD1 O43556 Q9BX67 Q3MIR4 Q2VWP7 Q96A57 O43570 P33908,FGFR3 PCDH17 KIRREL1 IGDCC4 TTMP SGCE JAM3 TMEM30B PRTG TMEM230 CA12 MAN1A1
HuMAP2_02143,5,Q13585 P04201,GPR50 MAS1
HuMAP2_02144,3,Q92830 O75528 Q9H8E8 Q96ES7 P52739 Q8IYH5 Q9NS73 Q92831 Q9ULM3 O75478 Q8NEM7,KAT2A TADA3 KAT14 SGF29 ZNF131 ZZZ3 MBIP KAT2B YEATS2 TADA2A SUPT20H
HuMAP2_02145,5,Q9UNY5 Q6R2W3 Q9Y5A6 Q3MJ62,ZNF232 ZBED9 ZSCAN21 ZSCAN23
HuMAP2_02146,4,P55854 Q15814,SUMO3 TBCC
HuMAP2_02147,2,Q7L2K0 Q9UJT0 Q9UJT1,TEDC2 TUBE1 TUBD1
HuMAP2_02148,3,Q8N4J0 Q96B70 O15541 Q9NZJ0 P08235,CARNMT1 LENG9 RNF113A DTL NR3C2
HuMAP2_02149,2,Q9BYG5 Q96KQ4 Q8TEW0 Q8NHQ8,PARD6B PPP1R13B PARD3 RASSF8
HuMAP2_02150,4,Q9NZQ7 Q13535,CD274 ATR
HuMAP2_02151,4,Q99697 Q9NUA8 Q9BTL4,PITX2 ZBTB40 IER2
HuMAP2_02152,4,O60308 O43303 Q8IW35,CEP104 CCP110 CEP97
HuMAP2_02153,5,Q96RU7 Q8NB37,TRIB3 GATD1
HuMAP2_02154,2,Q5SSQ6 Q5T5U3,SAPCD1 ARHGAP21
HuMAP2_02155,5,P20309 Q13733 Q9UN42 Q9UK39 Q9HCN3,CHRM3 ATP1A4 ATP1B4 NOCT TMEM8A
HuMAP2_02156,5,Q5VX71 P78316 Q13895 P49366 Q9NSI2 O95248 O95453 Q9BVI4,SUSD4 NOP14 BYSL DHPS FAM207A SBF1 PARN NOC4L
HuMAP2_02157,5,P01213 Q8NFV4 Q9Y5J9 P58557,PDYN ABHD11 TIMM8B YBEY
HuMAP2_02158,5,Q9NRF9 Q9NRL2 Q9Y6Q1 Q9NRG0,POLE3 BAZ1A CAPN6 CHRAC1
HuMAP2_02159,1,A0A0B4J2A2 P0DN37,PPIAL4C PPIAL4G
HuMAP2_02160,4,Q16643 P63261 Q8IVT2 O00159 Q9UM54 Q9UHB6 P35579 P27482 O95425 Q9NYL9 Q0ZGT2,DBN1 ACTG1 MISP MYO1C MYO6 LIMA1 MYH9 CALML3 SVIL TMOD3 NEXN
HuMAP2_02161,4,O75964 P48047 P36542,ATP5MG ATP5PO ATP5F1C
HuMAP2_02162,4,O95336 Q9UMY4 P24666,PGLS SNX12 ACP1
HuMAP2_02163,5,P25106 P29033,ACKR3 GJB2
HuMAP2_02164,4,O76031 Q9BU02,CLPX THTPA
HuMAP2_02165,5,P47756 Q6NUS8 Q9UJW0 Q9BTE1 O75935 Q96HE7 Q14203 O00399 Q8TD55 Q9NZ32 Q12894 P52907 Q13561 Q6JBY9 Q15286 P61163 P42025 Q96MC2 O95382,CAPZB UGT3A1 DCTN4 DCTN5 DCTN3 ERO1A DCTN1 DCTN6 PLEKHO2 ACTR10 IFRD2 CAPZA1 DCTN2 RCSD1 RAB35 ACTR1A ACTR1B DRC1 MAP3K6
HuMAP2_02166,2,Q96GY3 P10244 Q6MZP7 Q5TKA1 Q52LA3,LIN37 MYBL2 LIN54 LIN9 LIN52
HuMAP2_02167,2,P16233 P54317,PNLIP PNLIPRP2
HuMAP2_02168,4,P99999 Q6N021 Q15233 Q86XN7 P28482,CYCS TET2 NONO PROSER1 MAPK1
HuMAP2_02169,3,Q9P0L2 Q9Y5P4,MARK1 CERT
HuMAP2_02170,3,Q96CX6 Q16878,LRRC58 CDO1
HuMAP2_02171,5,Q9Y3E7 Q9H4A6 Q96IJ6,CHMP3 GOLPH3 GMPPA
HuMAP2_02172,4,Q9P0U4 P61964 Q9UBL3 O15047 Q03164 Q8NFC6 Q9UMN6 Q9UPS6 Q9Y5Z7 Q15291,CXXC1 WDR5 ASH2L SETD1A KMT2A BOD1L1 KMT2B SETD1B HCFC2 RBBP5
HuMAP2_02173,2,Q13627 Q9Y250 Q9BRK4 O60292 Q9P2F8,DYRK1A LZTS1 LZTS2 SIPA1L3 SIPA1L2
HuMAP2_02174,2,Q4VC05 Q68CP9 O96019 Q8NFD5 Q8WUZ0 P51531 P51532 Q12824 Q92922 Q86U86 Q8TAQ2 Q92925 Q6STE5 Q969G3 Q92784 O14497 Q92785 Q9NPI1 Q9BQE9,BCL7A ARID2 ACTL6A ARID1B BCL7C SMARCA2 SMARCA4 SMARCB1 SMARCC1 PBRM1 SMARCC2 SMARCD2 SMARCD3 SMARCE1 DPF3 ARID1A DPF2 BRD7 BCL7B
HuMAP2_02175,4,Q9BQF6 Q8WWZ1 P59923 Q96T68,SENP7 IL1F10 ZNF445 SETDB2
HuMAP2_02176,2,O00602 Q15485 O60279,FCN1 FCN2 SUSD5
HuMAP2_02177,5,Q8WWY8 Q5BVD1 Q7L7V1 O95390 O14773,LIPH TTMP DHX32 GDF11 TPP1
HuMAP2_02178,5,Q7Z406 P14649 O14950 P35579 Q9UPQ0 Q86VI3 Q8N3V7 P60660 Q8TDG2 P35580 Q92614,MYH14 MYL6B MYL12B MYH9 LIMCH1 IQGAP3 SYNPO MYL6 ACTRT1 MYH10 MYO18A
HuMAP2_02179,4,Q14651 Q9H4A3 P13796 Q8TCB7 Q13586,PLS1 WNK1 LCP1 METTL6 STIM1
HuMAP2_02180,4,Q9NW61 Q01968 Q6ICB4 Q8N4B1 P32019,PLEKHJ1 OCRL PHETA2 PHETA1 INPP5B
HuMAP2_02181,4,P42696 Q9Y388 P51608 Q9NVU7 Q5QNW6,RBM34 RBMX2 MECP2 SDAD1 HIST2H2BF
HuMAP2_02182,4,Q96A84 Q9H0H3 P40123 O14682 Q8IVD9,EMID1 KLHL25 CAP2 ENC1 NUDCD3
HuMAP2_02183,4,Q99457 Q96HR8 Q14978 Q8IZU1,NAP1L3 NAF1 NOLC1 FAM9A
HuMAP2_02184,2,P50995 P20073,ANXA11 ANXA7
HuMAP2_02185,4,Q08AM6 Q9Y2I7 Q92562,VAC14 PIKFYVE FIG4
HuMAP2_02186,4,Q9Y3A4 Q9H6R4 Q03252 P13798 P09486,RRP7A NOL6 LMNB2 APEH SPARC
HuMAP2_02187,2,P00813 Q16822,ADA PCK2
HuMAP2_02188,5,Q15438 Q99418 O43739 Q96HB5 O60759 Q3KP66 Q8WWN9 Q969H4,CYTH1 CYTH2 CYTH3 CCDC120 CYTIP INAVA IPCEF1 CNKSR1
HuMAP2_02189,4,Q8NA61 A6NHR9 Q5T3J3 P01222 Q8IUD2,SPERT SMCHD1 LRIF1 TSHB ERC1
HuMAP2_02190,4,Q7Z309 Q9NZI7 Q8N6D5,FAM122B UBP1 ANKRD29
HuMAP2_02191,5,P30740 Q9UGI8 Q96BM9 Q5T440,SERPINB1 TES ARL8A IBA57
HuMAP2_02192,5,Q96JP0 Q92990 Q9HCJ5,FEM1C GLMN ZSWIM6
HuMAP2_02193,4,Q9Y283 Q93063 Q8N556,INVS EXT2 AFAP1
HuMAP2_02194,4,P04280 P04745 P09228 Q00403,PRB1 AMY1A CST2 GTF2B
HuMAP2_02195,5,P59045 Q9NRC6,NLRP11 SPTBN5
HuMAP2_02196,5,Q969L4 Q8N954 Q9BWU0 P09234 Q9H6E5 P63162 Q6V1X1 Q9BV90 Q9P0M2 Q96GM8 P83876 P57052 Q71H61 Q9H875 Q8TEQ6 P62304 P83369 P62308 Q8IYT2,LSM10 GPATCH11 SLC4A1AP SNRPC TUT1 SNRPN DPP8 SNRNP25 AKAP7 TOE1 TXNL4A RBM11 ILDR2 PRKRIP1 GEMIN5 SNRPE LSM11 SNRPG CMTR2
HuMAP2_02197,4,O75556 Q8NFR7,SCGB2A1 CCDC148
HuMAP2_02198,4,Q96L73 P17010 P08048,NSD1 ZFX ZFY
HuMAP2_02199,5,Q8IWU6 Q6ZS30 Q9NQV6 P31431 Q8IYR6 Q13268 P34741 P18827 Q7Z5G4 P09038,SULF1 NBEAL1 PRDM10 SDC4 TMEFF1 DHRS2 SDC2 SDC1 GOLGA7 FGF2
HuMAP2_02200,3,Q9BYE7 Q06587 Q9BSM1 Q8IY57 Q6W2J9 Q8NHM5 Q8N488 Q99496,PCGF6 RING1 PCGF1 YAF2 BCOR KDM2B RYBP RNF2
HuMAP2_02201,5,Q99943 Q9H6U8 Q96GX1 P28068 Q9NWW5 Q14318 Q9P035 P60468 Q9HD20 Q6NTF9 Q9BTV4 P48651 Q92521 Q96KA5 Q8N2K0 P18031 Q9BU23 Q8WY22 Q9Y2G8 Q96S66 O95864,AGPAT1 ALG9 TCTN2 HLA-DMB CLN6 FKBP8 HACD3 SEC61B ATP13A1 RHBDD2 TMEM43 PTDSS1 PIGB CLPTM1L ABHD12 PTPN1 LMF2 BRI3BP DNAJC16 CLCC1 FADS2
HuMAP2_02202,4,Q96DY2 Q9H095,IQCD IQCG
HuMAP2_02203,3,Q66K74 P46821 Q9NS23,MAP1S MAP1B RASSF1
HuMAP2_02204,3,Q4VCS5 Q8IY63,AMOT AMOTL1
HuMAP2_02205,4,Q13206 Q12849,DDX10 GRSF1
HuMAP2_02206,4,Q5TF39 P0DPH8 Q8N4U5,MFSD4B TUBA3D TCP11L2
HuMAP2_02207,3,P08865 P61513 Q96L21 P62829 P46778 P63173 Q02543 Q07020 P62750 P35268 Q92901 P39023 P62910 P62899 P42766 P18124 P49207 Q969Q0 P62269 P50914 P62280 P18077 P67809 P46783 P39019 P25398 P62277 P60866 P05387 P46781 Q71UM5 P62266 P62847 P62263 P62841 P61247 P23396 P40429 P62241 P62081 P46782 P15880 P83731 P62753 P61254 P61353 P62888 P46776 P46779 P47914 P05388 Q9Y3U8 P62891 P35544 P46777 P61313 P18621 P62906 P36578 P62917 P32969 P62424 P30050 P26373 P27635 P62913 P62249 Q9UNX3 P62701 P62244 P84098 P05386 P62851 P62979 P42677,RPSA RPL37A RPL10L RPL23 RPL21 RPL38 RPL18A RPL18 RPL23A RPL22 RPL3L RPL3 RPL32 RPL31 RPL35 RPL7 RPL34 RPL36AL RPS18 RPL14 RPS11 RPL35A YBX1 RPS10 RPS19 RPS12 RPS13 RPS20 RPLP2 RPS9 RPS27L RPS23 RPS24 RPS14 RPS15 RPS3A RPS3 RPL13A RPS8 RPS7 RPS5 RPS2 RPL24 RPS6 RPL26 RPL27 RPL30 RPL27A RPL28 RPL29 RPLP0 RPL36 RPL39 FAU RPL5 RPL15 RPL17 RPL10A RPL4 RPL8 RPL9 RPL7A RPL12 RPL13 RPL10 RPL11 RPS16 RPL26L1 RPS4X RPS15A RPL19 RPLP1 RPS25 RPS27A RPS27
HuMAP2_02208,5,O15146 O43462 Q8NAC3 Q9UKF2,MUSK MBTPS2 IL17RC ADAM30
HuMAP2_02209,2,A0A0B4J2A2 P0DN37 A0A075B759,PPIAL4C PPIAL4G PPIAL4E
HuMAP2_02210,3,Q9BYJ9 Q7Z739,YTHDF1 YTHDF3
HuMAP2_02211,5,Q8N8Q8 O95498 Q9NWM8 O60353 Q9Y231,COX18 VNN2 FKBP14 FZD6 FUT9
HuMAP2_02212,2,P59665 P59665,DEFA1 DEFA1
HuMAP2_02213,5,Q9BPZ3 Q9H000 Q659C4 Q4VXU2 Q9H074 O14979 Q9NZB2 Q9H0J9 Q9NUD5,PAIP2 MKRN2 LARP1B PABPC1L PAIP1 HNRNPDL FAM120A PARP12 ZCCHC3
HuMAP2_02214,3,P25774 P14316,CTSS IRF2
HuMAP2_02215,4,Q8N4N3 P05204,KLHL36 HMGN2
HuMAP2_02216,3,Q9BRJ6 Q9NR30,C7orf50 DDX21
HuMAP2_02217,4,Q7L2K0 Q9UJT0 Q9UJT1 Q86SX3,TEDC2 TUBE1 TUBD1 TEDC1
HuMAP2_02218,2,O43488 O95154 Q8NHP1,AKR7A2 AKR7A3 AKR7L
HuMAP2_02219,2,Q8WXH6 P0C0E4,RAB40A RAB40AL
HuMAP2_02220,2,Q9UDY6 Q9UI36 Q96DX7,TRIM10 DACH1 TRIM44
HuMAP2_02221,4,Q96A72 O15234 Q6IQ49 P61326 Q9Y5S9 Q9UNN5 Q9BRP8,MAGOHB CASC3 SDE2 MAGOH RBM8A FAF1 PYM1
HuMAP2_02222,2,P68106 Q01469,FKBP1B FABP5
HuMAP2_02223,4,O15031 Q9H3N1 Q9NPF0,PLXNB2 TMX1 CD320
HuMAP2_02224,3,O75936 Q9BY42 P42575,BBOX1 RTF2 CASP2
HuMAP2_02225,2,Q8NCF5 P23193,NFATC2IP TCEA1
HuMAP2_02226,4,P55769 Q9BQ52,SNU13 ELAC2
HuMAP2_02227,5,P31146 Q5JTD0,CORO1A TJAP1
HuMAP2_02228,5,Q99501 P24385 Q8IWE2 Q5MNZ6 Q9UPY8 P42773,GAS2L1 CCND1 FAM114A1 WDR45B MAPRE3 CDKN2C
HuMAP2_02229,5,P28370 Q96K83 Q96KM6 Q12830 Q16576 Q2M1K9 Q8IV32 Q9Y483 Q149N8,SMARCA1 ZNF521 ZNF512B BPTF RBBP7 ZNF423 CCDC71 MTF2 SHPRH
HuMAP2_02230,4,P49005 Q9HCU8 O60673 Q15054 Q400G9,POLD2 POLD4 REV3L POLD3 AMZ1
HuMAP2_02231,5,P48594 Q6UWT4 Q9HAB8,SERPINB4 C5orf46 PPCS
HuMAP2_02232,4,Q9UF02 Q96BV0 P52746,CACNG5 ZNF775 ZNF142
HuMAP2_02233,5,Q969Z4 P20813 Q9UEW8,RELT CYP2B6 STK39
HuMAP2_02234,4,Q3SYG4 Q96RK4 Q8NFJ9 Q9BXC9 Q8IWZ6 Q8TAM2 Q8N3I7 Q9NQ48,BBS9 BBS4 BBS1 BBS2 BBS7 TTC8 BBS5 LZTFL1
HuMAP2_02235,4,Q9Y4B6 Q16531 Q9BW61 Q9NXF7,DCAF1 DDB1 DDA1 DCAF16
HuMAP2_02236,3,P47756 P47755 Q9UJW0 Q9BTE1 O75935 Q14203 O00399 P52907 Q13561 Q8TD55 Q9NZ32 P61163 P42025,CAPZB CAPZA2 DCTN4 DCTN5 DCTN3 DCTN1 DCTN6 CAPZA1 DCTN2 PLEKHO2 ACTR10 ACTR1A ACTR1B
HuMAP2_02237,4,P02724 Q9H8M9,GYPA EVA1A
HuMAP2_02238,5,Q9BUF7 Q9HAP6 Q9Y2J4 Q9NUP9 O75970  Q8N3R9 Q9NZW5 O14910 Q14168 Q9Y2J0,CRB3 LIN7B AMOTL2 LIN7C MPDZ PATJ MPP5 MPP6 LIN7A MPP2 RPH3A
HuMAP2_02239,5,Q96KR1 Q8NDI1 Q8N6R0 Q8WUR7 Q9NRZ9,ZFR EHBP1 EEF1AKNMT C15orf40 HELLS
HuMAP2_02240,4,P45378 Q9NXJ5,TNNT3 PGPEP1
HuMAP2_02241,4,Q13907 P15531,IDI1 NME1
HuMAP2_02242,4,Q9UDV7 Q96SZ5 Q8TD17 Q6ZMS7 Q9UDV6 Q6NUN9,ZNF282 ADO ZNF398 ZNF783 ZNF212 ZNF746
HuMAP2_02243,3,Q6ZMV9 Q86XA9 P57768,KIF6 HEATR5A SNX16
HuMAP2_02244,5,Q96H55 Q9Y4I1 Q9NQX4,MYO19 MYO5A MYO5C
HuMAP2_02245,5,Q6P2I3 Q96GK7 P30044 Q53S33 Q9H0W9,FAHD2B FAHD2A PRDX5 BOLA3 C11orf54
HuMAP2_02246,4,O75112 P40200 O95813 P0DMV9 Q8TDY4,LDB3 CD96 CER1 HSPA1B ASAP3
HuMAP2_02247,4,O95169 Q9Y6M9 O95299 Q9UI09 P19404 O00217 P17568 O43181 O75380 P28331 P49821 O75306 Q9NX14 O75438 Q9P0J0 P03915 O75489 Q6JQN1 P51970 O43674,NDUFB8 NDUFB9 NDUFA10 NDUFA12 NDUFV2 NDUFS8 NDUFB7 NDUFS4 NDUFS6 NDUFS1 NDUFV1 NDUFS2 NDUFB11 NDUFB1 NDUFA13 MT-ND5 NDUFS3 ACAD10 NDUFA8 NDUFB5
HuMAP2_02248,5,P13073 P08240 P09669 P20674 Q6PML9,COX4I1 SRPRA COX6C COX5A SLC30A9
HuMAP2_02249,4,O95704 O94844 P28325,APBB3 RHOBTB1 CST5
