ID,cut_1193.94,cut_1145.7,cut_1085.4,cut_1025.1,cut_964.8,cut_904.5,cut_844.2,cut_783.9,cut_723.6,cut_663.3,cut_603,cut_542.7,cut_482.4,cut_422.1,cut_361.8,cut_301.5,cut_241.2,cut_180.9,cut_120.6,dendrogram_order
ENOG411DUD3,1,1,10,17,239,287,341,391,450,508,568,627,687,747,808,868,928,989,1049,292.0
ENOG411DPT3,1,1,10,17,81,204,230,252,283,317,351,382,418,462,501,548,597,652,708,293.0
ENOG411DU84,1,1,10,17,81,273,316,360,417,474,530,588,646,706,765,825,884,945,1005,294.0
ENOG411DWGJ,1,1,10,17,81,263,302,338,385,436,486,537,584,644,700,756,814,871,928,295.0
ENOG411DQWR,1,1,10,17,81,88,94,143,160,173,193,207,222,253,277,308,341,385,429,296.0
ENOG411DT5V,1,1,10,17,81,88,94,143,160,173,200,214,229,260,284,315,350,396,440,297.0
ENOG411E0MG,1,1,10,17,81,88,94,143,160,173,200,545,597,657,713,771,829,889,946,298.0
ENOG411DYQA,1,1,10,17,81,88,94,101,191,421,469,518,562,618,671,725,782,837,894,299.0
ENOG411DQ4D,1,1,10,17,81,88,94,101,191,212,238,361,396,439,476,521,569,623,677,300.0
ENOG411DX07,1,1,10,17,81,88,94,101,191,212,238,260,617,677,733,792,850,911,970,301.0
ENOG411DRB0,1,1,10,17,81,88,94,101,191,212,238,260,279,314,344,382,422,470,517,302.0
ENOG411DVWT,1,1,10,17,81,88,94,101,191,212,238,260,279,314,512,559,608,663,719,303.0
ENOG411DR54,1,1,10,17,81,88,94,101,169,186,209,224,240,273,299,332,369,415,459,304.0
ENOG411DU35,1,1,10,17,81,88,94,101,110,159,177,189,204,234,256,281,312,354,395,305.0
ENOG411DPT0,1,1,10,17,81,88,94,101,110,117,130,138,151,175,192,213,237,275,310,306.0
ENOG411DSXU,1,1,10,17,81,88,94,101,110,117,176,188,203,233,254,279,310,352,393,307.0
ENOG411EKFX,1,1,47,78,92,99,105,114,125,133,147,155,170,197,215,237,265,304,343,308.0
ENOG411EKG2,1,1,47,78,92,99,105,114,125,427,477,527,573,631,686,741,798,853,910,309.0
ENOG411DQ4F,1,1,61,97,116,123,135,146,163,178,199,213,228,259,283,314,349,395,439,310.0
ENOG411E555,1,1,61,97,116,123,135,146,387,439,493,544,596,656,712,770,828,888,945,311.0
ENOG411E5X6,1,1,69,105,127,134,147,159,177,198,224,242,260,293,322,356,395,442,487,312.0
ENOG411E9T7,1,1,69,105,127,134,147,159,395,448,502,557,610,670,726,785,843,903,960,313.0
ENOG411DQYH,1,1,90,135,162,173,193,209,236,267,296,321,351,392,429,472,519,572,623,314.0
ENOG411E0UD,1,1,90,135,162,173,193,356,411,468,524,579,637,697,756,816,875,936,996,315.0
ENOG411DRWE,1,1,120,179,217,250,286,317,357,393,434,477,516,566,613,664,718,773,829,316.0
ENOG411DS5E,1,1,120,179,217,250,286,411,471,531,591,651,711,771,832,892,952,1013,1073,317.0
ENOG411DPZ4,1,1,111,165,200,224,255,281,316,351,387,423,461,506,549,598,649,704,760,318.0
ENOG411DU5Z,1,1,111,165,200,224,255,328,368,406,448,493,533,583,632,683,737,792,848,319.0
ENOG411DSAR,1,1,107,160,194,217,247,271,305,340,376,411,449,493,534,582,632,687,743,320.0
ENOG411DVX3,1,1,107,160,194,217,247,420,480,540,600,661,721,781,842,902,962,1023,1083,321.0
ENOG411DRJT,1,1,108,162,197,221,251,277,312,347,383,419,457,501,543,591,641,696,752,322.0
ENOG411DZH3,1,1,108,162,197,221,251,407,467,527,587,647,707,767,828,888,948,1009,1069,323.0
ENOG411DQHJ,1,1,33,53,58,64,69,73,78,83,93,97,102,119,126,140,156,188,217,324.0
ENOG411DV91,1,1,33,53,58,64,69,73,78,416,463,511,554,610,661,714,771,826,883,325.0
ENOG411E5AA,1,1,62,98,117,124,136,147,164,180,202,216,231,262,287,319,354,400,444,326.0
ENOG411E6A2,1,1,62,98,117,124,136,147,389,441,495,548,600,660,716,775,833,893,950,327.0
ENOG411DYDD,1,1,54,89,106,113,347,399,459,519,579,639,699,759,820,880,940,1001,1061,328.0
ENOG411DXUE,1,1,54,89,106,113,121,131,338,374,412,452,491,538,584,635,689,744,800,329.0
ENOG411DXTT,1,1,54,89,106,113,121,131,147,157,173,185,200,229,250,275,306,348,388,330.0
ENOG411DV87,1,1,54,89,106,113,121,131,147,157,173,185,200,229,250,275,306,348,499,331.0
ENOG411DRE2,1,1,20,133,160,171,214,233,263,295,326,356,391,434,471,516,564,618,671,332.0
ENOG411DPQ4,1,1,20,133,160,171,191,207,233,263,291,316,345,386,423,466,513,566,617,333.0
ENOG411DSP9,1,1,20,133,160,171,191,207,408,465,521,576,634,694,752,812,871,932,992,334.0
ENOG411DY1T,1,1,20,70,82,89,95,102,453,512,572,632,692,752,813,873,933,994,1054,335.0
ENOG411DVZE,1,1,20,70,82,89,95,102,111,118,131,139,152,176,193,215,239,278,313,336.0
ENOG411DWWP,1,1,20,70,82,89,95,102,111,329,364,395,432,476,517,564,613,668,724,337.0
ENOG411DYN4,1,1,20,70,82,89,95,102,111,329,364,617,677,737,798,858,918,979,1039,338.0
ENOG411E4HU,1,1,20,31,34,39,43,47,49,51,56,59,61,72,76,84,98,122,146,339.0
ENOG411EM33,1,1,20,31,34,39,43,47,372,413,455,502,545,597,648,700,755,810,867,340.0
