DDX5	RBM39	0.999735
KHDRBS1	DDX5	0.999733
PIK3R1	PIK3CD	0.999727
CYFIP2	CLUH	0.999724
NFKB1	CAMK2D	0.999718
ARHGAP4	COPS3	0.999713
PSMD13	PSMD3	0.999703
KHDRBS1	RBM39	0.999702
RPL35	RPL29	0.99969
EIF3H	EIF3D	0.999689
EIF3D	EIF3K	0.99967
PSMD11	PSMD7	0.999666
PDHB	PDHA1	0.999665
TARS	STAT1	0.999655
MRPS9	PTCD3	0.999654
CCT6A	NFKB2	0.999652
PSMD13	PSMD12	0.999648
PIK3R1	STAT5B	0.999646
RPS18	RPS8	0.999642
RPS3	RPS20	0.999634
COPG1	COPZ1	0.999624
AIMP1	EPRS	0.999624
BROX	GALM	0.999623
RPL15	RPL21	0.999615
SFXN1	ATP2A3	0.999601
RPN2	DDOST	0.999588
PSMA3	PSMB1	0.999579
PSMA2	PSMA6	0.999571
STAT5B	IPO4	0.999566
SAMM50	AGK	0.999563
PSMD14	PSMD13	0.999561
PSMD14	PSMD7	0.999543
RPN1	DDOST	0.999516
PSMD14	PSMD3	0.999506
N/A	AAK1	0.999505
NSF	ATP1A1	0.999498
MT-CO2	PHB2	0.999482
PSMB10	PSMA3	0.999473
OTUB1	EIF4E	0.99947
PSMA2	PSMA1	0.999462
EML4	EIF3K	0.999444
EIF3E	EIF3A	0.999429
PSMB3	PSMB2	0.999426
TPM4	TPM3	0.999412
CSDE1	PPP2R2A	0.999325
COPS6	GPS1	0.999287
PSMD5	PSMD2	0.999268
EIF3H	EIF3C	0.999267
EIF3G	EIF3I	0.999258
COPZ1	COPB2	0.999257
PSMA6	PSMB4	0.999225
PSMA6	PSMA7	0.999224
EIF3G	EIF3F	0.999223
MSH6	PFKP	0.999207
ATP2A3	SLC25A3	0.999203
SATB1	PSME1	0.999193
PSMA4	PSMB2	0.999187
SEMG2	SEMG1	0.999186
PSMB7	PSMB2	0.99918
H1FX	RPL17	0.999177
EEF1D	EEF1B2	0.99917
COPS6	COPS3	0.999166
EIF3K	EIF3A	0.999159
COPB1	COPZ1	0.999153
NFKB2	TCP1	0.999147
TERF2IP	PPP2R5A	0.999146
HSPH1	DNPEP	0.999133
ARCN1	COPZ1	0.999126
PSMA4	PSMB1	0.999124
RPA3	RPA2	0.999093
PSMD14	PSMD12	0.999079
PSMA1	PSMB1	0.999077
EIF3M	EIF3L	0.999072
DYNC1I2	DYNC1H1	0.999069
AIMP1	IARS	0.999068
NNT	VDAC1	0.999053
PSMB4	PSMA1	0.999051
PSMD13	PSMD7	0.999034
EIF3H	EIF3L	0.999028
PSMD6	PSMD13	0.998965
SFXN1	SLC25A3	0.998961
NUDC	PXN	0.998938
GSTP1	PRDX6	0.99891
CBX3	ACTG1	0.998898
RPS25	RPL22	0.998883
TCOF1	SF3A3	0.998864
NAA15	IPO4	0.998857
PSMB5	PSMA7	0.998834
SLC9A3R1	RPS6KA3	0.998803
PSMA7	PSMB3	0.998796
PSMA2	PSMA4	0.998781
PSMA1	PSMB2	0.99877
PSMB5	PSMB6	0.998709
PSMA5	PSMA6	0.998686
NDUFS7	NDUFS2	0.998653
CCT7	NFKB2	0.998643
COPB1	KIF5B	0.998636
RPL3	RPLP1	0.998618
SEPT1	SEPT7	0.998604
EIF3L	EIF3C	0.998604
LEO1	PAF1	0.9986
EIF3E	EIF3I	0.998583
ARPC5	ARPC3	0.998561
PSMD1	PSMD13	0.99853
PSMA6	PSMB1	0.998494
PSMD12	PSMD3	0.998481
PSMA2	PSMB1	0.998458
PSMD14	PSMD6	0.998397
EIF3H	EIF3I	0.998348
SFXN1	NDUFA4	0.998345
PSMA4	PSMB3	0.998321
CYFIP2	COPS3	0.998286
STAT5B	NAA15	0.99825
EXOSC9	EXOSC6	0.998215
PSMB9	PSMB2	0.99821
SRRM1	PRPF40A	0.998187
TOMM40	AFG3L2	0.998184
BRCC3	FAM175B	0.99817
PSMA4	PSMB8	0.99812
PSMA6	PSMB3	0.998107
AP2A2	AP2M1	0.998086
PSMB5	PSMB7	0.99806
RBBP4	RBBP7	0.998027
PSMB3	PSMB1	0.997996
COPS4	COPS6	0.997975
PSMA6	PSMB6	0.997932
SKAP1	HMHA1	0.997903
COPZ1	COPA	0.997884
PSMA1	PSMA4	0.997841
EIF3L	EIF3K	0.997786
EIF3L	EIF3B	0.99778
RPS24	RPL23A	0.997777
FNBP1	HMHA1	0.997777
ZC3H15	DRG1	0.997772
PSMA4	PSMB9	0.99774
SLC25A11	MYO1G	0.997737
PSMB4	PSMB2	0.997732
PSMD14	PSMD8	0.997719
COPS2	COPS5	0.99771
DNPEP	UGP2	0.997706
CCT5	CCT3	0.997671
RPL36	RPL34	0.997663
PSMB6	PSMA1	0.997638
PSMD5	PSMC5	0.997636
PSMC2	PSMC1	0.997573
PSMA6	PSMB8	0.997517
TMED10	ERMP1	0.997512
PSMA2	PSMA5	0.997511
PSMA1	PSMA7	0.997501
PSMB8	PSMB9	0.997455
PSMA2	PSMB3	0.997424
HSPE1	C6orf211	0.997367
SLC25A11	ATP2A3	0.997359
PSMB4	PSMA4	0.997311
GCDH	FUCA1	0.997289
PSMD12	PSMD7	0.997217
SRM	EIF4E	0.997215
STRN	RAD21	0.997138
IMPA1	PCYT2	0.997069
AIMP1	DARS	0.997066
ARPC3	ARPC4	0.997049
AP2A1	AP2B1	0.996933
SRRT	DDX3X	0.996907
PSMD4	PSMC4	0.99689
SNRPD2	SNRPD1	0.996884
PSMA4	PSMA7	0.996873
IARS	KARS	0.99686
NFKB1	CCT6A	0.996849
CDC37	YWHAG	0.996845
PSMB4	PSMB1	0.996787
MYO1G	SLC25A5	0.996781
TTLL12	PYGB	0.996758
PSMA5	PSMB2	0.996709
ATP2A3	GIMAP1	0.996691
DCPS	PFAS	0.996567
DDX18	NOP58	0.996515
AKR1A1	PARK7	0.996476
NOLC1	CSNK2A2	0.996462
BRCC3	BRE	0.996444
PSMB5	PSMA3	0.996412
DDX17	DDX3X	0.996395
APMAP	ESYT1	0.996352
NMD3	TBCB	0.996349
PSMB6	PSMB8	0.996321
SART1	IK	0.99632
SFXN1	SLC25A11	0.996307
PSMD12	PSMD8	0.996251
HINT1	CBFB	0.996245
PSMA2	PSMB4	0.996233
EIF3F	EML4	0.99619
KHDRBS1	DDX3X	0.996168
FIP1L1	SRRM1	0.996165
MYO1G	SLC25A3	0.996116
HK2	HARS	0.996016
ATP6V1A	ATP6V1B2	0.996009
EIF3I	EIF3F	0.995977
COPS5	GPS1	0.995931
CNN2	PCBP2	0.995877
TRA2A	SRSF10	0.995834
EIF2S2	EIF2S3	0.995829
PSMA7	PSMB1	0.99581
OXSR1	NSFL1C	0.99573
NCCRP1	GGCT	0.995587
UQCRC2	PHB2	0.995476
PSMB4	PSMA7	0.995448
CCT8	CCT5	0.995359
EIF2S1	IFI16	0.995217
PSMA2	PSMA7	0.995167
HMGB2	HMGB1	0.99493
EEF1D	EEF1G	0.994876
PSMC6	PSMC3	0.994818
FAM175B	BRE	0.994789
ARPC5	ACTR3	0.994771
ACTR2	ARPC5	0.994643
PPP5C	CHMP4B	0.994609
COPS2	COPS3	0.994587
RPA3	RPA1	0.994524
ACTL6A	SEC13	0.994375
C19orf66	PPIE	0.994359
PSMA6	PSMB9	0.994278
MAT2B	MAT2A	0.994254
CAPZA1	CAPZA2	0.994132
NOLC1	SART3	0.994094
DSC3	CDSN	0.99408
NUMA1	SON	0.99402
DNAJA1	ACSL4	0.99383
CCT8	CCT4	0.993824
PSMB3	PSMB9	0.993812
FLII	PSMD11	0.993802
EVL	VASP	0.993794
RPN2	RPN1	0.993653
PSMB4	PSMB3	0.993499
MCM3	MCM5	0.993493
COPG1	KIF5B	0.993455
PSMD13	PSMC1	0.993408
NAP1L4	NAP1L1	0.993404
ARPC5	ARPC1B	0.993386
AKR1B1	GALM	0.993347
CCT4	CCT2	0.99334
AP2B1	AP2M1	0.993013
CCT8	CCT7	0.993006
DPP7	ADSS	0.992936
POLR2B	POLR2A	0.992875
LTF	PIGR	0.992496
PSMB4	PSMB8	0.992353
SFXN1	SLC25A5	0.992331
RBBP4	CAPZA2	0.992195
PHB	VDAC1	0.992129
PRPF4	PRPF3	0.992084
PSMB5	PSMA6	0.992046
PSMA5	PSMB9	0.992023
USP14	ABHD10	0.992022
DIMT1	RPS11	0.99199
PSMB8	PSMB1	0.991949
CCT8	CCT3	0.991874
PSMD1	PSMD14	0.991845
CCT7	CCT2	0.991833
PSMB10	PSMB7	0.991493
PSMA7	PSMB9	0.99125
PSMB1	PSMB9	0.991178
CBR1	STXBP2	0.990968
PSMB5	PSMA2	0.990942
EIF3D	EIF3L	0.99078
SFXN1	GNB1	0.990751
CCT8	TCP1	0.990662
HMGCS1	STAT5A	0.990554
RPA1	RPA2	0.990461
CCT7	CCT5	0.990335
HSPE1	QDPR	0.990305
PSMA7	PSMB2	0.990294
PSMB4	PSMB9	0.990278
MYO1G	ATP5J2	0.990115
PDCD4	STRAP	0.990084
HNRNPUL1	SYNCRIP	0.990027
ACADS	FH	0.989892
OGDH	DLST	0.989829
RUVBL2	HADHB	0.989781
PSMD13	PSMC2	0.989742
CCT8	CCT2	0.989559
SDCBP	CMPK1	0.989451
PSMA5	PSMB3	0.989393
SLC25A11	NDUFA4	0.989163
PSMA5	PSMB10	0.989036
EIF3L	EIF3I	0.989032
PSMA5	PSMB1	0.989014
CCT5	TCP1	0.988842
PPP1R8	COASY	0.988817
VDAC3	NNT	0.988715
RAD21	SMC1A	0.988588
PSMC6	PSMD4	0.988433
CLUH	COPS3	0.988352
CCT8	CCT6A	0.988308
PSMA6	PSMB2	0.988272
FAU	RPL23A	0.988233
IMPDH2	PSME3	0.988205
PTBP3	AGO1	0.988183
KARS	LARS	0.988134
IPO5	CAPN2	0.987679
EIF2S3	EIF2B5	0.987658
PSMB5	PSMA5	0.987612
ECM1	TGM1	0.98761
ATP2A3	GNB1	0.987592
EIF3M	EIF3C	0.987412
CCT5	CCT2	0.987335
ETFA	ETFB	0.987177
RPS13	RPS9	0.986942
WARS	PYGB	0.986889
PCBP3	PCBP2	0.986871
PSMB8	PSMB3	0.986672
PSMB5	PSMB4	0.986632
CCT6A	CCT2	0.986432
CCT3	CCT2	0.986196
PSMA5	PSMB6	0.985751
LGALS7	HSPB1	0.985741
CCT7	CCT6A	0.985693
SUPT16H	AP3D1	0.985294
PSMA2	PSMB8	0.985288
CCT5	CCT4	0.985118
RAD50	CCAR2	0.985079
CCT6A	CCT5	0.984718
CSNK2B	CSNK2A1	0.984582
CCT7	NFKB1	0.984503
POLR1A	POLR1B	0.984298
COPS3	IQGAP2	0.983932
CCBL2	OXCT1	0.983903
PHB2	NDUFS1	0.983865
AP2A1	AP2M1	0.983716
COPS3	CYFIP1	0.983654
TCP1	CCT4	0.983254
CAPZB	CAPZA2	0.983195
EIF3L	EIF3F	0.983081
PSMD12	PSMC2	0.982973
SRRT	KHDRBS1	0.982954
VDAC2	SLC25A5	0.982792
PSMB8	PSMB2	0.982733
PSMB7	PSMB4	0.982619
CORO1A	SHMT1	0.982617
TMED10	TMED9	0.982515
CSK	OLA1	0.98221
H6PD	GLS	0.981906
PSMD6	PSMD7	0.981721
ARPC2	ARPC1B	0.981587
ASNS	PFAS	0.981489
ARPC5	ARPC4	0.981327
MTAP	OXCT1	0.981253
PSMB10	PSMB9	0.980964
ARPC3	ARPC1B	0.980887
PSMA5	PSMA4	0.980596
RPL19	RPL13A	0.980294
SFXN1	VDAC2	0.980253
NFKB2	DOCK8	0.980105
HARS	PFAS	0.979839
YWHAE	YWHAZ	0.979663
PSMA7	PSMB8	0.979203
GPS1	COPS3	0.979163
NDUFA4	ATP5J2	0.979114
TOMM40	AGPAT5	0.979054
BRIX1	RSL24D1	0.978979
CYFIP2	IQGAP2	0.978665
CCT6A	CCT4	0.978573
TCP1	CCT3	0.978441
