996	64682	1.0
9861	5706	1.0
9861	5700	1.0
9774	9967	1.0
9349	6230	1.0
9349	6223	1.0
9349	6210	1.0
9349	6208	1.0
9349	6207	1.0
9349	6203	1.0
9349	6202	1.0
9349	6191	1.0
9349	6189	1.0
9349	6175	1.0
9349	6157	1.0
9349	6156	1.0
9349	6152	1.0
9349	6144	1.0
9349	6138	1.0
9349	6137	1.0
9349	6136	1.0
9349	6135	1.0
9349	6134	1.0
9349	6133	1.0
9349	6130	1.0
9349	6128	1.0
9349	25873	1.0
9349	11224	1.0
9045	6210	1.0
9045	6203	1.0
9045	6202	1.0
9045	6189	1.0
9045	6157	1.0
9045	6156	1.0
9045	6144	1.0
9045	6135	1.0
9045	6122	1.0
8893	8891	1.0
8891	8890	1.0
8683	6426	1.0
85439	1173	1.0
84516	10540	1.0
81873	10095	1.0
81873	10094	1.0
8089	6944	1.0
80097	10844	1.0
79980	79003	1.0
79902	23279	1.0
79003	25936	1.0
740	65008	1.0
740	65005	1.0
740	3396	1.0
7203	10576	1.0
6627	6632	1.0
6598	6599	1.0
65008	65080	1.0
65008	65005	1.0
65008	64978	1.0
65008	51069	1.0
65008	3396	1.0
65008	28998	1.0
65008	219927	1.0
65005	9801	1.0
65005	84545	1.0
65005	64981	1.0
65005	64978	1.0
65005	3396	1.0
65005	219927	1.0
64965	51081	1.0
64682	8881	1.0
63875	65005	1.0
63875	3396	1.0
6230	6210	1.0
6230	6203	1.0
6230	6202	1.0
6230	6157	1.0
6230	6156	1.0
6230	6134	1.0
6228	9045	1.0
6228	6230	1.0
6228	6208	1.0
6228	6207	1.0
6228	6203	1.0
6228	6202	1.0
6228	6189	1.0
6228	6166	1.0
6228	6157	1.0
6228	6155	1.0
6228	6147	1.0
6228	6144	1.0
6228	6138	1.0
6228	6137	1.0
6228	6136	1.0
6228	6135	1.0
6228	6134	1.0
6228	6130	1.0
6228	6129	1.0
6228	6128	1.0
6228	6122	1.0
6228	4736	1.0
6228	11224	1.0
6224	6210	1.0
6223	6209	1.0
6223	6207	1.0
6223	6206	1.0
6223	6203	1.0
6223	6202	1.0
6223	6189	1.0
6223	6188	1.0
6223	6157	1.0
6223	6155	1.0
6223	6147	1.0
6223	6144	1.0
6223	6137	1.0
6223	6135	1.0
6223	6134	1.0
6223	6130	1.0
6223	6128	1.0
6223	6122	1.0
6223	4736	1.0
6223	3921	1.0
6223	25873	1.0
